Elements,Density_1,Density_2,Melting_1,Melting_2,Number_1,Number_2,Eneg_1,Eneg_2,Valence_1,Valence_2,Radius_1,Radius_2,Magnetic_1,Magnetic_2,Vacancy_11,Vacancy_12,Vacancy_13,Vacancy_21,Vacancy_22,Vacancy_23,Density_Fe,Melting_Fe,Eneg_Fe,Number_Fe,Radius_Fe,Valence_Fe,Distance_sub_sub,Energy_binding
B-Cu,2.34,8.96,2350.15,1357.77,5,29,2.04,1.9,3,11,98.0,128.0,-0.129,0.116,0.172,0.323,-0.065,0.254,0.219,0.054,7.87,1811.15,1.83,26,126.0,8,2.546388817198437,0.195
B-Zn,2.34,7.134,2350.15,692.6769999999999,5,30,2.04,1.65,3,12,98.0,134.0,-0.133,-0.072,0.172,0.323,-0.065,0.327,0.112,0.043,7.87,1811.15,1.83,26,126.0,8,2.735342662048019,0.164
B-Ga,2.34,5.91,2350.15,302.91459999999995,5,31,2.04,1.81,3,3,98.0,140.0,-0.135,-0.168,0.172,0.323,-0.065,0.403,0.093,0.04,7.87,1811.15,1.83,26,126.0,8,2.808843470582711,0.126
B-Ge,2.34,5.3234,2350.15,1211.4,5,32,2.04,2.01,3,4,98.0,144.0,-0.139,-0.123,0.172,0.323,-0.065,0.467,0.158,0.031,7.87,1811.15,1.83,26,126.0,8,2.8815336463041206,0.066
B-As,2.34,5.75,2350.15,1090.15,5,33,2.04,2.18,3,5,98.0,148.0,-0.143,-0.078,0.172,0.323,-0.065,0.536,0.228,0.011,7.87,1811.15,1.83,26,126.0,8,2.958217003368864,0.04
B-Se,2.34,4.819,2350.15,494.15,5,34,2.04,2.55,3,6,98.0,140.0,-0.143,-0.02,0.172,0.323,-0.065,0.675,0.308,0.014,7.87,1811.15,1.83,26,126.0,8,3.0223402047385544,0.159
B-Zr,2.34,6.52,2350.15,2127.15,5,40,2.04,1.33,3,4,98.0,160.0,-0.123,-0.403,0.172,0.323,-0.065,0.745,-0.091,0.065,7.87,1811.15,1.83,26,126.0,8,2.7058237552733417,0.351
B-Nb,2.34,8.57,2350.15,2750.15,5,41,2.04,1.6,3,5,98.0,146.0,-0.116,-0.688,0.172,0.323,-0.065,0.395,-0.142,0.053,7.87,1811.15,1.83,26,126.0,8,2.665575205350058,0.146
B-Mo,2.34,10.2,2350.15,2895.15,5,42,2.04,2.16,3,6,98.0,139.0,-0.109,-0.766,0.172,0.323,-0.065,0.17,-0.117,0.026,7.87,1811.15,1.83,26,126.0,8,2.5861083144730688,-0.009
B-Ru,2.34,12.1,2350.15,2606.15,5,44,2.04,2.2,3,8,98.0,134.0,-0.112,0.212,0.172,0.323,-0.065,0.122,0.017,0.047,7.87,1811.15,1.83,26,126.0,8,2.3641610026424487,0.037
B-Rh,2.34,12.4,2350.15,2236.15,5,45,2.04,2.28,3,9,98.0,134.0,-0.124,0.584,0.172,0.323,-0.065,0.157,0.11,0.066,7.87,1811.15,1.83,26,126.0,8,2.41031741361674,0.068
B-Pd,2.34,12.0,2350.15,1827.9499999999998,5,46,2.04,2.2,3,10,98.0,137.0,-0.128,0.337,0.172,0.323,-0.065,0.294,0.217,0.106,7.87,1811.15,1.83,26,126.0,8,2.5657971569596203,0.119
B-Sn,2.34,7.287,2350.15,505.08,5,50,2.04,1.96,3,4,98.0,163.0,-0.135,-0.188,0.172,0.323,-0.065,0.758,0.114,0.109,7.87,1811.15,1.83,26,126.0,8,2.8582217262960192,0.225
B-Sb,2.34,6.68,2350.15,903.778,5,51,2.04,2.05,3,5,98.0,166.0,-0.139,-0.097,0.172,0.323,-0.065,0.749,0.131,0.058,7.87,1811.15,1.83,26,126.0,8,2.9127105170527545,0.126
B-Te,2.34,6.232,2350.15,722.66,5,52,2.04,2.1,3,6,98.0,160.0,-0.141,-0.074,0.172,0.323,-0.065,0.801,0.196,0.031,7.87,1811.15,1.83,26,126.0,8,2.9735365412447834,0.109
B-Hf,2.34,13.3,2350.15,2506.15,5,72,2.04,1.3,3,4,98.0,159.0,-0.121,-0.508,0.172,0.323,-0.065,0.646,-0.148,0.073,7.87,1811.15,1.83,26,126.0,8,2.700433348344715,0.31
B-Ta,2.34,16.4,2350.15,3290.15,5,73,2.04,1.5,3,5,98.0,146.0,-0.114,-0.703,0.172,0.323,-0.065,0.321,-0.18,0.04,7.87,1811.15,1.83,26,126.0,8,2.65683938188045,0.088
B-W,2.34,19.3,2350.15,3687.15,5,74,2.04,1.7,3,6,98.0,139.0,-0.105,-0.716,0.172,0.323,-0.065,0.129,-0.149,0.016,7.87,1811.15,1.83,26,126.0,8,2.577465423210285,-0.068
B-Re,2.34,20.8,2350.15,3458.15,5,75,2.04,1.9,3,7,98.0,137.0,-0.098,-0.558,0.172,0.323,-0.065,0.077,-0.088,0.01,7.87,1811.15,1.83,26,126.0,8,2.4553657728878093,-0.117
B-Os,2.34,22.5872,2350.15,3306.15,5,76,2.04,2.2,3,8,98.0,135.0,-0.102,-0.154,0.172,0.323,-0.065,0.091,-0.016,0.02,7.87,1811.15,1.83,26,126.0,8,2.3556728731353815,-0.072
B-Ir,2.34,22.5622,2350.15,2719.15,5,77,2.04,2.2,3,9,98.0,136.0,-0.115,0.401,0.172,0.323,-0.065,0.135,0.081,0.057,7.87,1811.15,1.83,26,126.0,8,2.3511907842320374,0.002
B-Pt,2.34,21.5,2350.15,2041.35,5,78,2.04,2.2,3,10,98.0,139.0,-0.125,0.356,0.172,0.323,-0.065,0.262,0.205,0.094,7.87,1811.15,1.83,26,126.0,8,2.540900558597476,0.01
B-Au,2.34,19.3,2350.15,1337.33,5,79,2.04,2.4,3,11,98.0,144.0,-0.13,0.137,0.172,0.323,-0.065,0.457,0.297,0.138,7.87,1811.15,1.83,26,126.0,8,2.72544092211937,0.145
B-U,2.34,19.1,2350.15,1408.15,5,92,2.04,1.7,3,6,98.0,170.0,-0.128,-1.536,0.172,0.323,-0.065,1.248,0.229,0.073,7.87,1811.15,1.83,26,126.0,8,2.6854653604113063,0.244
B-Np,2.34,20.2,2350.15,917.15,5,93,2.04,1.3,3,7,98.0,171.0,-0.127,-2.879,0.172,0.323,-0.065,1.286,0.247,0.055,7.87,1811.15,1.83,26,126.0,8,2.6603698799407214,0.38
Al-Al,2.7,2.7,933.473,933.473,13,13,1.61,1.61,3,3,143.0,143.0,-0.069,-0.069,0.349,0.02,0.062,0.349,0.02,0.062,7.87,1811.15,1.83,26,126.0,8,2.613681614828793,-0.054
Al-Si,2.7,2.3296,933.473,1687.15,13,14,1.61,1.9,3,4,143.0,138.0,-0.07,-0.081,0.349,0.02,0.062,0.295,0.125,0.004,7.87,1811.15,1.83,26,126.0,8,2.6277291652618286,-0.14
Al-P,2.7,2.69,933.473,689.15,13,15,1.61,2.19,3,5,143.0,128.0,-0.074,-0.051,0.349,0.02,0.062,0.369,0.256,-0.021,7.87,1811.15,1.83,26,126.0,8,2.6911514780472143,-0.147
Al-S,2.7,2.07,933.473,388.36,13,16,1.61,2.58,3,6,143.0,127.0,-0.078,0.021,0.349,0.02,0.062,0.573,0.377,0.004,7.87,1811.15,1.83,26,126.0,8,2.815528372529964,0.026
Al-Sc,2.7,2.99,933.473,1814.15,13,21,1.61,1.36,3,3,143.0,162.0,-0.073,-0.508,0.349,0.02,0.062,0.709,-0.121,0.08,7.87,1811.15,1.83,26,126.0,8,2.6721643467330796,-0.128
Al-Ti,2.7,4.506,933.473,1943.15,13,22,1.61,1.54,3,4,143.0,147.0,-0.07,-0.913,0.349,0.02,0.062,0.261,-0.16,0.016,7.87,1811.15,1.83,26,126.0,8,2.635551069615657,-0.196
Al-V,2.7,6.0,933.473,2183.15,13,23,1.61,1.63,3,5,143.0,134.0,-0.067,-1.399,0.349,0.02,0.062,0.056,-0.086,-0.008,7.87,1811.15,1.83,26,126.0,8,2.6105641011103344,-0.187
Al-Cr,2.7,7.15,933.473,2180.15,13,24,1.61,1.66,3,6,143.0,128.0,-0.063,-1.936,0.349,0.02,0.062,0.05,0.005,-0.002,7.87,1811.15,1.83,26,126.0,8,2.59391288003016,-0.098
Al-Mn,2.7,7.3,933.473,1519.15,13,25,1.61,1.55,3,7,143.0,127.0,-0.061,-2.297,0.349,0.02,0.062,0.132,0.094,0.019,7.87,1811.15,1.83,26,126.0,8,2.576659146721106,0.056
Al-Co,2.7,8.86,933.473,1768.15,13,27,1.61,1.88,3,9,143.0,125.0,-0.071,1.591,0.349,0.02,0.062,-0.01,0.113,0.016,7.87,1811.15,1.83,26,126.0,8,2.4879874869618175,0.039
Al-Ni,2.7,8.9,933.473,1728.15,13,28,1.61,1.91,3,10,143.0,124.0,-0.069,0.772,0.349,0.02,0.062,0.105,0.22,0.046,7.87,1811.15,1.83,26,126.0,8,2.4791837294997956,0.168
Al-Cu,2.7,8.96,933.473,1357.77,13,29,1.61,1.9,3,11,143.0,128.0,-0.07,0.122,0.349,0.02,0.062,0.254,0.219,0.054,7.87,1811.15,1.83,26,126.0,8,2.48904452709102,0.236
Al-Zn,2.7,7.134,933.473,692.6769999999999,13,30,1.61,1.65,3,12,143.0,134.0,-0.07,-0.072,0.349,0.02,0.062,0.327,0.112,0.043,7.87,1811.15,1.83,26,126.0,8,2.552570207888516,0.065
Al-Ga,2.7,5.91,933.473,302.91459999999995,13,31,1.61,1.81,3,3,143.0,140.0,-0.07,-0.16,0.349,0.02,0.062,0.403,0.093,0.04,7.87,1811.15,1.83,26,126.0,8,2.6149098966596034,-0.069
Al-Ge,2.7,5.3234,933.473,1211.4,13,32,1.61,2.01,3,4,143.0,144.0,-0.07,-0.108,0.349,0.02,0.062,0.467,0.158,0.031,7.87,1811.15,1.83,26,126.0,8,2.641124678362052,-0.152
Al-As,2.7,5.75,933.473,1090.15,13,33,1.61,2.18,3,5,143.0,148.0,-0.072,-0.061,0.349,0.02,0.062,0.536,0.228,0.011,7.87,1811.15,1.83,26,126.0,8,2.6677019435453544,-0.218
Al-Se,2.7,4.819,933.473,494.15,13,34,1.61,2.55,3,6,143.0,140.0,-0.073,-0.006,0.349,0.02,0.062,0.675,0.308,0.014,7.87,1811.15,1.83,26,126.0,8,2.718788761930154,-0.184
Al-Zr,2.7,6.52,933.473,2127.15,13,40,1.61,1.33,3,4,143.0,160.0,-0.07,-0.422,0.349,0.02,0.062,0.745,-0.091,0.065,7.87,1811.15,1.83,26,126.0,8,2.699537584829457,-0.268
Al-Nb,2.7,8.57,933.473,2750.15,13,41,1.61,1.6,3,5,143.0,146.0,-0.067,-0.711,0.349,0.02,0.062,0.395,-0.142,0.053,7.87,1811.15,1.83,26,126.0,8,2.66523374531475,-0.257
Al-Mo,2.7,10.2,933.473,2895.15,13,42,1.61,2.16,3,6,143.0,139.0,-0.064,-0.796,0.349,0.02,0.062,0.17,-0.117,0.026,7.87,1811.15,1.83,26,126.0,8,2.6332350095901695,-0.21
Al-Ru,2.7,12.1,933.473,2606.15,13,44,1.61,2.2,3,8,143.0,134.0,-0.063,0.097,0.349,0.02,0.062,0.122,0.017,0.047,7.87,1811.15,1.83,26,126.0,8,2.5370162106439174,0.028
Al-Rh,2.7,12.4,933.473,2236.15,13,45,1.61,2.28,3,9,143.0,134.0,-0.066,0.539,0.349,0.02,0.062,0.157,0.11,0.066,7.87,1811.15,1.83,26,126.0,8,2.504478106570135,0.132
Al-Pd,2.7,12.0,933.473,1827.9499999999998,13,46,1.61,2.2,3,10,143.0,137.0,-0.068,0.322,0.349,0.02,0.062,0.294,0.217,0.106,7.87,1811.15,1.83,26,126.0,8,2.5048165653460677,0.213
Al-Sn,2.7,7.287,933.473,505.08,13,50,1.61,1.96,3,4,143.0,163.0,-0.069,-0.18,0.349,0.02,0.062,0.758,0.114,0.109,7.87,1811.15,1.83,26,126.0,8,2.6922725895090625,-0.215
Al-Sb,2.7,6.68,933.473,903.778,13,51,1.61,2.05,3,5,143.0,166.0,-0.07,-0.085,0.349,0.02,0.062,0.749,0.131,0.058,7.87,1811.15,1.83,26,126.0,8,2.709806730819578,-0.349
Al-Te,2.7,6.232,933.473,722.66,13,52,1.61,2.1,3,6,143.0,160.0,-0.071,-0.061,0.349,0.02,0.062,0.801,0.196,0.031,7.87,1811.15,1.83,26,126.0,8,2.734660678417734,-0.43
Al-Hf,2.7,13.3,933.473,2506.15,13,72,1.61,1.3,3,4,143.0,159.0,-0.07,-0.539,0.349,0.02,0.062,0.646,-0.148,0.073,7.87,1811.15,1.83,26,126.0,8,2.699395464890218,-0.275
Al-Ta,2.7,16.4,933.473,3290.15,13,73,1.61,1.5,3,5,143.0,146.0,-0.066,-0.737,0.349,0.02,0.062,0.321,-0.18,0.04,7.87,1811.15,1.83,26,126.0,8,2.6740936758383453,-0.314
Al-W,2.7,19.3,933.473,3687.15,13,74,1.61,1.7,3,6,143.0,139.0,-0.063,-0.749,0.349,0.02,0.062,0.129,-0.149,0.016,7.87,1811.15,1.83,26,126.0,8,2.6456843845494817,-0.292
Al-Re,2.7,20.8,933.473,3458.15,13,75,1.61,1.9,3,7,143.0,137.0,-0.061,-0.611,0.349,0.02,0.062,0.077,-0.088,0.01,7.87,1811.15,1.83,26,126.0,8,2.6144392724573238,-0.211
Al-Os,2.7,22.5872,933.473,3306.15,13,76,1.61,2.2,3,8,143.0,135.0,-0.06,-0.22,0.349,0.02,0.062,0.091,-0.016,0.02,7.87,1811.15,1.83,26,126.0,8,2.56584419930682,-0.075
Al-Ir,2.7,22.5622,933.473,2719.15,13,77,1.61,2.2,3,9,143.0,136.0,-0.063,0.366,0.349,0.02,0.062,0.135,0.081,0.057,7.87,1811.15,1.83,26,126.0,8,2.525247953795751,0.062
Al-Pt,2.7,21.5,933.473,2041.35,13,78,1.61,2.2,3,10,143.0,139.0,-0.066,0.333,0.349,0.02,0.062,0.262,0.205,0.094,7.87,1811.15,1.83,26,126.0,8,2.519319784171443,0.138
Al-Au,2.7,19.3,933.473,1337.33,13,79,1.61,2.4,3,11,143.0,144.0,-0.067,0.137,0.349,0.02,0.062,0.457,0.297,0.138,7.87,1811.15,1.83,26,126.0,8,2.5480843628942793,0.176
Al-U,2.7,19.1,933.473,1408.15,13,92,1.61,1.7,3,6,143.0,170.0,-0.067,-1.296,0.349,0.02,0.062,1.248,0.229,0.073,7.87,1811.15,1.83,26,126.0,8,2.834647210730766,-0.495
Al-Np,2.7,20.2,933.473,917.15,13,93,1.61,1.3,3,7,143.0,171.0,-0.068,-2.66,0.349,0.02,0.062,1.286,0.247,0.055,7.87,1811.15,1.83,26,126.0,8,2.828083357268412,-0.476
Si-Si,2.3296,2.3296,1687.15,1687.15,14,14,1.9,1.9,4,4,138.0,138.0,-0.084,-0.084,0.295,0.125,0.004,0.295,0.125,0.004,7.87,1811.15,1.83,26,126.0,8,2.6722357398268395,-0.316
Si-P,2.3296,2.69,1687.15,689.15,14,15,1.9,2.19,4,5,138.0,128.0,-0.093,-0.056,0.295,0.125,0.004,0.369,0.256,-0.021,7.87,1811.15,1.83,26,126.0,8,2.818006340836301,-0.356
Si-S,2.3296,2.07,1687.15,388.36,14,16,1.9,2.58,4,6,138.0,127.0,-0.096,0.016,0.295,0.125,0.004,0.573,0.377,0.004,7.87,1811.15,1.83,26,126.0,8,2.965136452855813,-0.093
