Elements,Density_1,Density_2,Melting_1,Melting_2,Number_1,Number_2,Eneg_1,Eneg_2,Valence_1,Valence_2,Radius_1,Radius_2,Magnetic_1,Magnetic_2,Vacancy_11,Vacancy_12,Vacancy_13,Vacancy_21,Vacancy_22,Vacancy_23,Density_Fe,Melting_Fe,Eneg_Fe,Number_Fe,Radius_Fe,Valence_Fe,Distance_sub_sub,Energy_binding
Sc-Sn,2.99,7.287,1814.15,505.08,21,50,1.36,1.96,3,4,162.0,163.0,-0.497,-0.178,0.709,-0.121,0.08,0.758,0.114,0.109,7.87,1811.15,1.83,26,126.0,8,2.7044367849007096,-0.171
Sc-Sb,2.99,6.68,1814.15,903.778,21,51,1.36,2.05,3,5,162.0,166.0,-0.499,-0.078,0.709,-0.121,0.08,0.749,0.131,0.058,7.87,1811.15,1.83,26,126.0,8,2.7102694161377876,-0.186
Sc-Te,2.99,6.232,1814.15,722.66,21,52,1.36,2.1,3,6,162.0,160.0,-0.506,-0.055,0.709,-0.121,0.08,0.801,0.196,0.031,7.87,1811.15,1.83,26,126.0,8,2.707423028386722,-0.136
Sc-Hf,2.99,13.3,1814.15,2506.15,21,72,1.36,1.3,3,4,162.0,159.0,-0.536,-0.565,0.709,-0.121,0.08,0.646,-0.148,0.073,7.87,1811.15,1.83,26,126.0,8,2.6901607253497954,-0.367
Sc-Ta,2.99,16.4,1814.15,3290.15,21,73,1.36,1.5,3,5,162.0,146.0,-0.527,-0.771,0.709,-0.121,0.08,0.321,-0.18,0.04,7.87,1811.15,1.83,26,126.0,8,2.6934827022644203,-0.405
Sc-W,2.99,19.3,1814.15,3687.15,21,74,1.36,1.7,3,6,162.0,139.0,-0.52,-0.772,0.709,-0.121,0.08,0.129,-0.149,0.016,7.87,1811.15,1.83,26,126.0,8,2.6839485202468043,-0.37
Sc-Re,2.99,20.8,1814.15,3458.15,21,75,1.36,1.9,3,7,162.0,137.0,-0.511,-0.604,0.709,-0.121,0.08,0.077,-0.088,0.01,7.87,1811.15,1.83,26,126.0,8,2.6641232821429,-0.264
Sc-Os,2.99,22.5872,1814.15,3306.15,21,76,1.36,2.2,3,8,162.0,135.0,-0.495,-0.173,0.709,-0.121,0.08,0.091,-0.016,0.02,7.87,1811.15,1.83,26,126.0,8,2.616979984593105,-0.086
Sc-Ir,2.99,22.5622,1814.15,2719.15,21,77,1.36,2.2,3,9,162.0,136.0,-0.491,0.386,0.709,-0.121,0.08,0.135,0.081,0.057,7.87,1811.15,1.83,26,126.0,8,2.5738917555504126,0.075
Sc-Pt,2.99,21.5,1814.15,2041.35,21,78,1.36,2.2,3,10,162.0,139.0,-0.498,0.357,0.709,-0.121,0.08,0.262,0.205,0.094,7.87,1811.15,1.83,26,126.0,8,2.5756962401602217,0.145
Sc-Au,2.99,19.3,1814.15,1337.33,21,79,1.36,2.4,3,11,162.0,144.0,-0.492,0.159,0.709,-0.121,0.08,0.457,0.297,0.138,7.87,1811.15,1.83,26,126.0,8,2.610140843633227,0.127
Sc-U,2.99,19.1,1814.15,1408.15,21,92,1.36,1.7,3,6,162.0,170.0,-0.57,-1.374,0.709,-0.121,0.08,1.248,0.229,0.073,7.87,1811.15,1.83,26,126.0,8,2.709026176470105,-0.371
Sc-Np,2.99,20.2,1814.15,917.15,21,93,1.36,1.3,3,7,162.0,171.0,-0.581,-2.757,0.709,-0.121,0.08,1.286,0.247,0.055,7.87,1811.15,1.83,26,126.0,8,2.693700626960064,-0.311
Ti-Ti,4.506,4.506,1943.15,1943.15,22,22,1.54,1.54,4,4,147.0,147.0,-0.973,-0.973,0.261,-0.16,0.016,0.261,-0.16,0.016,7.87,1811.15,1.83,26,126.0,8,2.6278989651170477,-0.28
Ti-V,4.506,6.0,1943.15,2183.15,22,23,1.54,1.63,4,5,147.0,134.0,-0.943,-1.405,0.261,-0.16,0.016,0.056,-0.086,-0.008,7.87,1811.15,1.83,26,126.0,8,2.61176149585878,-0.241
Ti-Cr,4.506,7.15,1943.15,2180.15,22,24,1.54,1.66,4,6,147.0,128.0,-0.894,-1.79,0.261,-0.16,0.016,0.05,0.005,-0.002,7.87,1811.15,1.83,26,126.0,8,2.6056613907879265,-0.193
Ti-Mn,4.506,7.3,1943.15,1519.15,22,25,1.54,1.55,4,7,147.0,127.0,-0.833,-1.55,0.261,-0.16,0.016,0.132,0.094,0.019,7.87,1811.15,1.83,26,126.0,8,2.5725080148611887,-0.133
Ti-Co,4.506,8.86,1943.15,1768.15,22,27,1.54,1.88,4,9,147.0,125.0,-0.95,1.609,0.261,-0.16,0.016,-0.01,0.113,0.016,7.87,1811.15,1.83,26,126.0,8,2.4935020203989304,0.017
Ti-Ni,4.506,8.9,1943.15,1728.15,22,28,1.54,1.91,4,10,147.0,124.0,-0.902,0.833,0.261,-0.16,0.016,0.105,0.22,0.046,7.87,1811.15,1.83,26,126.0,8,2.512943608945464,0.018
Ti-Cu,4.506,8.96,1943.15,1357.77,22,29,1.54,1.9,4,11,147.0,128.0,-0.939,0.096,0.261,-0.16,0.016,0.254,0.219,0.054,7.87,1811.15,1.83,26,126.0,8,2.53814136189305,-0.013
Ti-Zn,4.506,7.134,1943.15,692.6769999999999,22,30,1.54,1.65,4,12,147.0,134.0,-0.94,-0.082,0.261,-0.16,0.016,0.327,0.112,0.043,7.87,1811.15,1.83,26,126.0,8,2.584487924221621,-0.094
Ti-Ga,4.506,5.91,1943.15,302.91459999999995,22,31,1.54,1.81,4,3,147.0,140.0,-0.904,-0.162,0.261,-0.16,0.016,0.403,0.093,0.04,7.87,1811.15,1.83,26,126.0,8,2.6171675455222787,-0.141
Ti-Ge,4.506,5.3234,1943.15,1211.4,22,32,1.54,2.01,4,4,147.0,144.0,-0.889,-0.101,0.261,-0.16,0.016,0.467,0.158,0.031,7.87,1811.15,1.83,26,126.0,8,2.624213158749036,-0.124
Ti-As,4.506,5.75,1943.15,1090.15,22,33,1.54,2.18,4,5,147.0,148.0,-0.897,-0.052,0.261,-0.16,0.016,0.536,0.228,0.011,7.87,1811.15,1.83,26,126.0,8,2.6157145323957645,-0.07
Ti-Se,4.506,4.819,1943.15,494.15,22,34,1.54,2.55,4,6,147.0,140.0,-0.917,-0.004,0.261,-0.16,0.016,0.675,0.308,0.014,7.87,1811.15,1.83,26,126.0,8,2.6013276765534643,0.019
Ti-Zr,4.506,6.52,1943.15,2127.15,22,40,1.54,1.33,4,4,147.0,160.0,-0.946,-0.44,0.261,-0.16,0.016,0.745,-0.091,0.065,7.87,1811.15,1.83,26,126.0,8,2.6750462967695703,-0.349
Ti-Nb,4.506,8.57,1943.15,2750.15,22,41,1.54,1.6,4,5,147.0,146.0,-0.92,-0.718,0.261,-0.16,0.016,0.395,-0.142,0.053,7.87,1811.15,1.83,26,126.0,8,2.654383929658391,-0.327
Ti-Mo,4.506,10.2,1943.15,2895.15,22,42,1.54,2.16,4,6,147.0,139.0,-0.896,-0.771,0.261,-0.16,0.016,0.17,-0.117,0.026,7.87,1811.15,1.83,26,126.0,8,2.6252581214998405,-0.27
Ti-Ru,4.506,12.1,1943.15,2606.15,22,44,1.54,2.2,4,8,147.0,134.0,-0.849,0.206,0.261,-0.16,0.016,0.122,0.017,0.047,7.87,1811.15,1.83,26,126.0,8,2.5092754281565357,0.009
Ti-Rh,4.506,12.4,1943.15,2236.15,22,45,1.54,2.28,4,9,147.0,134.0,-0.884,0.583,0.261,-0.16,0.016,0.157,0.11,0.066,7.87,1811.15,1.83,26,126.0,8,2.504185080029612,0.07
Ti-Pd,4.506,12.0,1943.15,1827.9499999999998,22,46,1.54,2.2,4,10,147.0,137.0,-0.893,0.355,0.261,-0.16,0.016,0.294,0.217,0.106,7.87,1811.15,1.83,26,126.0,8,2.543363707339445,0.032
Ti-Sn,4.506,7.287,1943.15,505.08,22,50,1.54,1.96,4,4,147.0,163.0,-0.895,-0.178,0.261,-0.16,0.016,0.758,0.114,0.109,7.87,1811.15,1.83,26,126.0,8,2.6782595670179314,-0.247
Ti-Sb,4.506,6.68,1943.15,903.778,22,51,1.54,2.05,4,5,147.0,166.0,-0.897,-0.077,0.261,-0.16,0.016,0.749,0.131,0.058,7.87,1811.15,1.83,26,126.0,8,2.6810409341543804,-0.241
Ti-Te,4.506,6.232,1943.15,722.66,22,52,1.54,2.1,4,6,147.0,160.0,-0.902,-0.055,0.261,-0.16,0.016,0.801,0.196,0.031,7.87,1811.15,1.83,26,126.0,8,2.675325257561584,-0.202
Ti-Hf,4.506,13.3,1943.15,2506.15,22,72,1.54,1.3,4,4,147.0,159.0,-0.946,-0.562,0.261,-0.16,0.016,0.646,-0.148,0.073,7.87,1811.15,1.83,26,126.0,8,2.6781309369141213,-0.365
Ti-Ta,4.506,16.4,1943.15,3290.15,22,73,1.54,1.5,4,5,147.0,146.0,-0.93,-0.769,0.261,-0.16,0.016,0.321,-0.18,0.04,7.87,1811.15,1.83,26,126.0,8,2.668611852658557,-0.369
Ti-W,4.506,19.3,1943.15,3687.15,22,74,1.54,1.7,4,6,147.0,139.0,-0.903,-0.751,0.261,-0.16,0.016,0.129,-0.149,0.016,7.87,1811.15,1.83,26,126.0,8,2.650141028547466,-0.327
Ti-Re,4.506,20.8,1943.15,3458.15,22,75,1.54,1.9,4,7,147.0,137.0,-0.856,-0.554,0.261,-0.16,0.016,0.077,-0.088,0.01,7.87,1811.15,1.83,26,126.0,8,2.6141038100563643,-0.243
Ti-Os,4.506,22.5872,1943.15,3306.15,22,76,1.54,2.2,4,8,147.0,135.0,-0.825,-0.122,0.261,-0.16,0.016,0.091,-0.016,0.02,7.87,1811.15,1.83,26,126.0,8,2.5566992262720145,-0.088
Ti-Ir,4.506,22.5622,1943.15,2719.15,22,77,1.54,2.2,4,9,147.0,136.0,-0.859,0.405,0.261,-0.16,0.016,0.135,0.081,0.057,7.87,1811.15,1.83,26,126.0,8,2.5272970877502043,0.049
Ti-Pt,4.506,21.5,1943.15,2041.35,22,78,1.54,2.2,4,10,147.0,139.0,-0.883,0.366,0.261,-0.16,0.016,0.262,0.205,0.094,7.87,1811.15,1.83,26,126.0,8,2.5516155713390565,0.043
Ti-Au,4.506,19.3,1943.15,1337.33,22,79,1.54,2.4,4,11,147.0,144.0,-0.877,0.169,0.261,-0.16,0.016,0.457,0.297,0.138,7.87,1811.15,1.83,26,126.0,8,2.6017754719876844,-0.039
Ti-U,4.506,19.1,1943.15,1408.15,22,92,1.54,1.7,4,6,147.0,170.0,-0.948,-1.356,0.261,-0.16,0.016,1.248,0.229,0.073,7.87,1811.15,1.83,26,126.0,8,2.6918769216089165,-0.42
Ti-Np,4.506,20.2,1943.15,917.15,22,93,1.54,1.3,4,7,147.0,171.0,-0.947,-2.71,0.261,-0.16,0.016,1.286,0.247,0.055,7.87,1811.15,1.83,26,126.0,8,2.685233737862214,-0.372
V-V,6.0,6.0,2183.15,2183.15,23,23,1.63,1.63,5,5,134.0,134.0,-1.345,-1.344,0.056,-0.086,-0.008,0.056,-0.086,-0.008,7.87,1811.15,1.83,26,126.0,8,2.598605143179838,-0.245
V-Cr,6.0,7.15,2183.15,2180.15,23,24,1.63,1.66,5,6,134.0,128.0,-1.286,-1.706,0.056,-0.086,-0.008,0.05,0.005,-0.002,7.87,1811.15,1.83,26,126.0,8,2.593323362014079,-0.253
V-Mn,6.0,7.3,2183.15,1519.15,23,25,1.63,1.55,5,7,134.0,127.0,-1.233,0.163,0.056,-0.086,-0.008,0.132,0.094,0.019,7.87,1811.15,1.83,26,126.0,8,2.4530659707066067,-0.227
V-Co,6.0,8.86,2183.15,1768.15,23,27,1.63,1.88,5,9,134.0,125.0,-1.385,1.634,0.056,-0.086,-0.008,-0.01,0.113,0.016,7.87,1811.15,1.83,26,126.0,8,2.4770641447970068,-0.042
V-Ni,6.0,8.9,2183.15,1728.15,23,28,1.63,1.91,5,10,134.0,124.0,-1.354,0.844,0.056,-0.086,-0.008,0.105,0.22,0.046,7.87,1811.15,1.83,26,126.0,8,2.5149487643733477,-0.087
V-Cu,6.0,8.96,2183.15,1357.77,23,29,1.63,1.9,5,11,134.0,128.0,-1.439,0.088,0.056,-0.086,-0.008,0.254,0.219,0.054,7.87,1811.15,1.83,26,126.0,8,2.526524166745537,-0.068
V-Zn,6.0,7.134,2183.15,692.6769999999999,23,30,1.63,1.65,5,12,134.0,134.0,-1.412,-0.077,0.056,-0.086,-0.008,0.327,0.112,0.043,7.87,1811.15,1.83,26,126.0,8,2.569474424612099,-0.142
V-Ga,6.0,5.91,2183.15,302.91459999999995,23,31,1.63,1.81,5,3,134.0,140.0,-1.383,-0.158,0.056,-0.086,-0.008,0.403,0.093,0.04,7.87,1811.15,1.83,26,126.0,8,2.5999823498681494,-0.184
V-Ge,6.0,5.3234,2183.15,1211.4,23,32,1.63,2.01,5,4,134.0,144.0,-1.387,-0.1,0.056,-0.086,-0.008,0.467,0.158,0.031,7.87,1811.15,1.83,26,126.0,8,2.6052309654971952,-0.158
V-As,6.0,5.75,2183.15,1090.15,23,33,1.63,2.18,5,5,134.0,148.0,-1.4,-0.051,0.056,-0.086,-0.008,0.536,0.228,0.011,7.87,1811.15,1.83,26,126.0,8,2.5965417919224003,-0.114
V-Se,6.0,4.819,2183.15,494.15,23,34,1.63,2.55,5,6,134.0,140.0,-1.433,-0.005,0.056,-0.086,-0.008,0.675,0.308,0.014,7.87,1811.15,1.83,26,126.0,8,2.5860483063560595,-0.057
V-Zr,6.0,6.52,2183.15,2127.15,23,40,1.63,1.33,5,4,134.0,160.0,-1.367,-0.42,0.056,-0.086,-0.008,0.745,-0.091,0.065,7.87,1811.15,1.83,26,126.0,8,2.6682266721482297,-0.317
V-Nb,6.0,8.57,2183.15,2750.15,23,41,1.63,1.6,5,5,134.0,146.0,-1.325,-0.696,0.056,-0.086,-0.008,0.395,-0.142,0.053,7.87,1811.15,1.83,26,126.0,8,2.6438383058340613,-0.312
V-Mo,6.0,10.2,2183.15,2895.15,23,42,1.63,2.16,5,6,134.0,139.0,-1.269,-0.726,0.056,-0.086,-0.008,0.17,-0.117,0.026,7.87,1811.15,1.83,26,126.0,8,2.6035138534607563,-0.284
V-Ru,6.0,12.1,2183.15,2606.15,23,44,1.63,2.2,5,8,134.0,134.0,-1.218,0.275,0.056,-0.086,-0.008,0.122,0.017,0.047,7.87,1811.15,1.83,26,126.0,8,2.4703371354748063,-0.038
V-Rh,6.0,12.4,2183.15,2236.15,23,45,1.63,2.28,5,9,134.0,134.0,-1.308,0.595,0.056,-0.086,-0.008,0.157,0.11,0.066,7.87,1811.15,1.83,26,126.0,8,2.4958414558991886,-0.016
V-Pd,6.0,12.0,2183.15,1827.9499999999998,23,46,1.63,2.2,5,10,134.0,137.0,-1.346,0.359,0.056,-0.086,-0.008,0.294,0.217,0.106,7.87,1811.15,1.83,26,126.0,8,2.5520610730494337,-0.086
V-Sn,6.0,7.287,2183.15,505.08,23,50,1.63,1.96,5,4,134.0,163.0,-1.375,-0.179,0.056,-0.086,-0.008,0.758,0.114,0.109,7.87,1811.15,1.83,26,126.0,8,2.6640263936081507,-0.238
V-Sb,6.0,6.68,2183.15,903.778,23,51,1.63,2.05,5,5,134.0,166.0,-1.363,-0.076,0.056,-0.086,-0.008,0.749,0.131,0.058,7.87,1811.15,1.83,26,126.0,8,2.661621360293073,-0.233
V-Te,6.0,6.232,2183.15,722.66,23,52,1.63,2.1,5,6,134.0,160.0,-1.365,-0.055,0.056,-0.086,-0.008,0.801,0.196,0.031,7.87,1811.15,1.83,26,126.0,8,2.652924432921289,-0.218
V-Hf,6.0,13.3,2183.15,2506.15,23,72,1.63,1.3,5,4,134.0,159.0,-1.377,-0.551,0.056,-0.086,-0.008,0.646,-0.148,0.073,7.87,1811.15,1.83,26,126.0,8,2.6632794194610603,-0.314
V-Ta,6.0,16.4,2183.15,3290.15,23,73,1.63,1.5,5,5,134.0,146.0,-1.331,-0.747,0.056,-0.086,-0.008,0.321,-0.18,0.04,7.87,1811.15,1.83,26,126.0,8,2.647622110376401,-0.324
V-W,6.0,19.3,2183.15,3687.15,23,74,1.63,1.7,5,6,134.0,139.0,-1.27,-0.709,0.056,-0.086,-0.008,0.129,-0.149,0.016,7.87,1811.15,1.83,26,126.0,8,2.6210775898303433,-0.319
V-Re,6.0,20.8,2183.15,3458.15,23,75,1.63,1.9,5,7,134.0,137.0,-1.175,-0.495,0.056,-0.086,-0.008,0.077,-0.088,0.01,7.87,1811.15,1.83,26,126.0,8,2.562897687055894,-0.26
V-Os,6.0,22.5872,2183.15,3306.15,23,76,1.63,2.2,5,8,134.0,135.0,-1.158,-0.062,0.056,-0.086,-0.008,0.091,-0.016,0.02,7.87,1811.15,1.83,26,126.0,8,2.506896725465538,-0.129
V-Ir,6.0,22.5622,2183.15,2719.15,23,77,1.63,2.2,5,9,134.0,136.0,-1.251,0.423,0.056,-0.086,-0.008,0.135,0.081,0.057,7.87,1811.15,1.83,26,126.0,8,2.501572909784737,-0.016
V-Pt,6.0,21.5,2183.15,2041.35,23,78,1.63,2.2,5,10,134.0,139.0,-1.309,0.375,0.056,-0.086,-0.008,0.262,0.205,0.094,7.87,1811.15,1.83,26,126.0,8,2.547612624125955,-0.068
V-Au,6.0,19.3,2183.15,1337.33,23,79,1.63,2.4,5,11,134.0,144.0,-1.32,0.173,0.056,-0.086,-0.008,0.457,0.297,0.138,7.87,1811.15,1.83,26,126.0,8,2.605599608689901,-0.163
V-U,6.0,19.1,2183.15,1408.15,23,92,1.63,1.7,5,6,134.0,170.0,-1.331,-1.338,0.056,-0.086,-0.008,1.248,0.229,0.073,7.87,1811.15,1.83,26,126.0,8,2.6854438790404203,-0.455
V-Np,6.0,20.2,2183.15,917.15,23,93,1.63,1.3,5,7,134.0,171.0,-1.324,-2.668,0.056,-0.086,-0.008,1.286,0.247,0.055,7.87,1811.15,1.83,26,126.0,8,2.683354649672799,-0.418
Cr-Cr,7.15,7.15,2180.15,2180.15,24,24,1.66,1.66,6,6,128.0,128.0,-1.554,-1.554,0.05,0.005,-0.002,0.05,0.005,-0.002,7.87,1811.15,1.83,26,126.0,8,2.5556876172389162,-0.292
Cr-Mn,7.15,7.3,2180.15,1519.15,24,25,1.66,1.55,6,7,128.0,127.0,-1.51,-0.417,0.05,0.005,-0.002,0.132,0.094,0.019,7.87,1811.15,1.83,26,126.0,8,2.4339199574776766,-0.239
Cr-Co,7.15,8.86,2180.15,1768.15,24,27,1.66,1.88,6,9,128.0,125.0,-1.825,1.653,0.05,0.005,-0.002,-0.01,0.113,0.016,7.87,1811.15,1.83,26,126.0,8,2.4887958649525106,-0.084
Cr-Ni,7.15,8.9,2180.15,1728.15,24,28,1.66,1.91,6,10,128.0,124.0,-1.856,0.833,0.05,0.005,-0.002,0.105,0.22,0.046,7.87,1811.15,1.83,26,126.0,8,2.5270517033477597,-0.139
Cr-Cu,7.15,8.96,2180.15,1357.77,24,29,1.66,1.9,6,11,128.0,128.0,-2.008,0.091,0.05,0.005,-0.002,0.254,0.219,0.054,7.87,1811.15,1.83,26,126.0,8,2.5278735466634834,-0.032
Cr-Zn,7.15,7.134,2180.15,692.6769999999999,24,30,1.66,1.65,6,12,128.0,134.0,-1.934,-0.072,0.05,0.005,-0.002,0.327,0.112,0.043,7.87,1811.15,1.83,26,126.0,8,2.5639606932150585,-0.118
Cr-Ga,7.15,5.91,2180.15,302.91459999999995,24,31,1.66,1.81,6,3,128.0,140.0,-1.942,-0.154,0.05,0.005,-0.002,0.403,0.093,0.04,7.87,1811.15,1.83,26,126.0,8,2.5934825017486594,-0.139
Cr-Ge,7.15,5.3234,2180.15,1211.4,24,32,1.66,2.01,6,4,128.0,144.0,-1.95,-0.097,0.05,0.005,-0.002,0.467,0.158,0.031,7.87,1811.15,1.83,26,126.0,8,2.591848499188053,-0.099
Cr-As,7.15,5.75,2180.15,1090.15,24,33,1.66,2.18,6,5,128.0,148.0,-1.954,-0.05,0.05,0.005,-0.002,0.536,0.228,0.011,7.87,1811.15,1.83,26,126.0,8,2.5767274475033837,-0.072
Cr-Se,7.15,4.819,2180.15,494.15,24,34,1.66,2.55,6,6,128.0,140.0,-2.018,-0.007,0.05,0.005,-0.002,0.675,0.308,0.014,7.87,1811.15,1.83,26,126.0,8,2.580552051929205,-0.033
Cr-Zr,7.15,6.52,2180.15,2127.15,24,40,1.66,1.33,6,4,128.0,160.0,-1.741,-0.399,0.05,0.005,-0.002,0.745,-0.091,0.065,7.87,1811.15,1.83,26,126.0,8,2.6625274648124866,-0.274
Cr-Nb,7.15,8.57,2180.15,2750.15,24,41,1.66,1.6,6,5,128.0,146.0,-1.66,-0.664,0.05,0.005,-0.002,0.395,-0.142,0.053,7.87,1811.15,1.83,26,126.0,8,2.6315117812800137,-0.293
Cr-Mo,7.15,10.2,2180.15,2895.15,24,42,1.66,2.16,6,6,128.0,139.0,-1.503,-0.664,0.05,0.005,-0.002,0.17,-0.117,0.026,7.87,1811.15,1.83,26,126.0,8,2.563286105141234,-0.289
Cr-Ru,7.15,12.1,2180.15,2606.15,24,44,1.66,2.2,6,8,128.0,134.0,-1.577,0.313,0.05,0.005,-0.002,0.122,0.017,0.047,7.87,1811.15,1.83,26,126.0,8,2.456009935619074,-0.073
Cr-Rh,7.15,12.4,2180.15,2236.15,24,45,1.66,2.28,6,9,128.0,134.0,-1.755,0.599,0.05,0.005,-0.002,0.157,0.11,0.066,7.87,1811.15,1.83,26,126.0,8,2.5064385828578986,-0.078
Cr-Pd,7.15,12.0,2180.15,1827.9499999999998,24,46,1.66,2.2,6,10,128.0,137.0,-1.84,0.36,0.05,0.005,-0.002,0.294,0.217,0.106,7.87,1811.15,1.83,26,126.0,8,2.566875590128398,-0.142
Cr-Sn,7.15,7.287,2180.15,505.08,24,50,1.66,1.96,6,4,128.0,163.0,-1.904,-0.173,0.05,0.005,-0.002,0.758,0.114,0.109,7.87,1811.15,1.83,26,126.0,8,2.654558717517465,-0.149
Cr-Sb,7.15,6.68,2180.15,903.778,24,51,1.66,2.05,6,5,128.0,166.0,-1.865,-0.074,0.05,0.005,-0.002,0.749,0.131,0.058,7.87,1811.15,1.83,26,126.0,8,2.647709080444204,-0.169
Cr-Te,7.15,6.232,2180.15,722.66,24,52,1.66,2.1,6,6,128.0,160.0,-1.857,-0.053,0.05,0.005,-0.002,0.801,0.196,0.031,7.87,1811.15,1.83,26,126.0,8,2.6357676296596133,-0.175
Cr-Hf,7.15,13.3,2180.15,2506.15,24,72,1.66,1.3,6,4,128.0,159.0,-1.753,-0.532,0.05,0.005,-0.002,0.646,-0.148,0.073,7.87,1811.15,1.83,26,126.0,8,2.651753999114109,-0.251
Cr-Ta,7.15,16.4,2180.15,3290.15,24,73,1.66,1.5,6,5,128.0,146.0,-1.648,-0.707,0.05,0.005,-0.002,0.321,-0.18,0.04,7.87,1811.15,1.83,26,126.0,8,2.6296135535308323,-0.295
Cr-W,7.15,19.3,2180.15,3687.15,24,74,1.66,1.7,6,6,128.0,139.0,-1.487,-0.651,0.05,0.005,-0.002,0.129,-0.149,0.016,7.87,1811.15,1.83,26,126.0,8,2.5812663981311754,-0.317
Cr-Re,7.15,20.8,2180.15,3458.15,24,75,1.66,1.9,6,7,128.0,137.0,-1.398,-0.464,0.05,0.005,-0.002,0.077,-0.088,0.01,7.87,1811.15,1.83,26,126.0,8,2.51858028712122,-0.27
Cr-Os,7.15,22.5872,2180.15,3306.15,24,76,1.66,2.2,6,8,128.0,135.0,-1.455,-0.022,0.05,0.005,-0.002,0.091,-0.016,0.02,7.87,1811.15,1.83,26,126.0,8,2.480016689478035,-0.168
Cr-Ir,7.15,22.5622,2180.15,2719.15,24,77,1.66,2.2,6,9,128.0,136.0,-1.656,0.422,0.05,0.005,-0.002,0.135,0.081,0.057,7.87,1811.15,1.83,26,126.0,8,2.4999544845533905,-0.078
Cr-Pt,7.15,21.5,2180.15,2041.35,24,78,1.66,2.2,6,10,128.0,139.0,-1.776,0.374,0.05,0.005,-0.002,0.262,0.205,0.094,7.87,1811.15,1.83,26,126.0,8,2.5584397242370995,-0.144
Cr-Au,7.15,19.3,2180.15,1337.33,24,79,1.66,2.4,6,11,128.0,144.0,-1.896,0.151,0.05,0.005,-0.002,0.457,0.297,0.138,7.87,1811.15,1.83,26,126.0,8,2.610285444154553,-0.219
Cr-U,7.15,19.1,2180.15,1408.15,24,92,1.66,1.7,6,6,128.0,170.0,-1.61,-1.304,0.05,0.005,-0.002,1.248,0.229,0.073,7.87,1811.15,1.83,26,126.0,8,2.6720673234533905,-0.476
Cr-Np,7.15,20.2,2180.15,917.15,24,93,1.66,1.3,6,7,128.0,171.0,-1.594,-2.611,0.05,0.005,-0.002,1.286,0.247,0.055,7.87,1811.15,1.83,26,126.0,8,2.682805373502792,-0.45
Mn-Mn,7.3,7.3,1519.15,1519.15,25,25,1.55,1.55,7,7,127.0,127.0,-1.621,1.303,0.132,0.094,0.019,0.132,0.094,0.019,7.87,1811.15,1.83,26,126.0,8,2.3666838821603786,-0.146
Mn-Co,7.3,8.86,1519.15,1768.15,25,27,1.55,1.88,7,9,127.0,125.0,-1.965,1.655,0.132,0.094,0.019,-0.01,0.113,0.016,7.87,1811.15,1.83,26,126.0,8,2.5043392404911136,-0.101
Mn-Ni,7.3,8.9,1519.15,1728.15,25,28,1.55,1.91,7,10,127.0,124.0,-2.605,0.728,0.132,0.094,0.019,0.105,0.22,0.046,7.87,1811.15,1.83,26,126.0,8,2.522475720175104,-0.073
Mn-Cu,7.3,8.96,1519.15,1357.77,25,29,1.55,1.9,7,11,127.0,128.0,-2.371,0.109,0.132,0.094,0.019,0.254,0.219,0.054,7.87,1811.15,1.83,26,126.0,8,2.5248797738905475,0.067
Mn-Zn,7.3,7.134,1519.15,692.6769999999999,25,30,1.55,1.65,7,12,127.0,134.0,-2.424,-0.073,0.132,0.094,0.019,0.327,0.112,0.043,7.87,1811.15,1.83,26,126.0,8,2.563796949642918,-0.02
Mn-Ga,7.3,5.91,1519.15,302.91459999999995,25,31,1.55,1.81,7,3,127.0,140.0,-2.414,-0.15,0.132,0.094,0.019,0.403,0.093,0.04,7.87,1811.15,1.83,26,126.0,8,2.582465990189557,0.012
Mn-Ge,7.3,5.3234,1519.15,1211.4,25,32,1.55,2.01,7,4,127.0,144.0,-2.346,-0.095,0.132,0.094,0.019,0.467,0.158,0.031,7.87,1811.15,1.83,26,126.0,8,2.5704618002575432,0.048
Mn-As,7.3,5.75,1519.15,1090.15,25,33,1.55,2.18,7,5,127.0,148.0,-2.317,-0.049,0.132,0.094,0.019,0.536,0.228,0.011,7.87,1811.15,1.83,26,126.0,8,2.5493533901864645,0.061
Mn-Se,7.3,4.819,1519.15,494.15,25,34,1.55,2.55,7,6,127.0,140.0,-2.387,-0.009,0.132,0.094,0.019,0.675,0.308,0.014,7.87,1811.15,1.83,26,126.0,8,2.5629451335787214,0.081
Mn-Zr,7.3,6.52,1519.15,2127.15,25,40,1.55,1.33,7,4,127.0,160.0,-1.516,-0.376,0.132,0.094,0.019,0.745,-0.091,0.065,7.87,1811.15,1.83,26,126.0,8,2.6319390485506577,-0.197
Mn-Nb,7.3,8.57,1519.15,2750.15,25,41,1.55,1.6,7,5,127.0,146.0,-0.713,-0.637,0.132,0.094,0.019,0.395,-0.142,0.053,7.87,1811.15,1.83,26,126.0,8,2.5562548525948072,-0.224
Mn-Mo,7.3,10.2,1519.15,2895.15,25,42,1.55,2.16,7,6,127.0,139.0,1.097,-0.752,0.132,0.094,0.019,0.17,-0.117,0.026,7.87,1811.15,1.83,26,126.0,8,2.4525894315198182,-0.182
Mn-Ru,7.3,12.1,1519.15,2606.15,25,44,1.55,2.2,7,8,127.0,134.0,-1.507,0.271,0.132,0.094,0.019,0.122,0.017,0.047,7.87,1811.15,1.83,26,126.0,8,2.4454823755647648,-0.062
