Elements,Density_sum,Density_diff,Density_aver,Eneg_sum,Eneg_diff,Eneg_aver,Magnetic_sum,Magnetic_diff,Melting_sum,Melting_diff,Melting_aver,Number_sum,Number_diff,Number_aver,Radius_sum,Radius_diff,Radius_aver,Vacancy_1_sum,Vacancy_1_diff,Vacancy_2_sum,Vacancy_2_diff,Vacancy_3_sum,Vacancy_3_diff,Valence_sum,Valence_diff,Valence_aver,Energy_binding
B-P,0.6391359593392629,0.04447268106734436,0.31956797966963146,2.3114754098360657,0.08196721311475405,1.1557377049180328,-0.211,0.07899999999999999,1.6781050713634984,0.9170968721530519,0.8390525356817492,0.7692307692307693,0.38461538461538464,0.38461538461538464,1.7936507936507937,0.23809523809523808,0.8968253968253969,0.5409999999999999,0.197,0.579,0.067,-0.08600000000000001,0.044,1.0,0.25,0.5,-0.044
B-S,0.5603557814485388,0.03430749682337993,0.2801778907242694,2.5245901639344264,0.29508196721311475,1.2622950819672132,-0.129,0.15899999999999997,1.5120282693316403,1.08317367418491,0.7560141346658201,0.8076923076923077,0.4230769230769231,0.40384615384615385,1.7857142857142858,0.23015873015873015,0.8928571428571429,0.7449999999999999,0.40099999999999997,0.7,0.05399999999999999,-0.061,0.069,1.125,0.375,0.5625,0.2
B-Sc,0.6772554002541296,0.08259212198221097,0.3386277001270648,1.8579234972677596,0.3715846994535519,0.9289617486338798,-0.601,0.34299999999999997,2.2992573779090635,0.29594456560748694,1.1496286889545317,1.0,0.6153846153846154,0.5,2.0634920634920637,0.5079365079365079,1.0317460317460319,0.881,0.5369999999999999,0.202,0.444,0.015,0.14500000000000002,0.75,0.0,0.375,0.407
B-Ti,0.8698856416772554,0.2752223634053368,0.4349428208386277,1.9562841530054644,0.27322404371584696,0.9781420765027322,-1.0030000000000001,0.759,2.370482842392955,0.2247191011235955,1.1852414211964775,1.0384615384615385,0.6538461538461539,0.5192307692307693,1.9444444444444444,0.3888888888888889,0.9722222222222222,0.433,0.08900000000000002,0.163,0.483,-0.049,0.081,0.875,0.125,0.4375,0.123
B-V,1.059720457433291,0.4650571791613723,0.5298602287166455,2.0054644808743167,0.22404371584699462,1.0027322404371584,-1.485,1.2550000000000001,2.5029953344560085,0.09220660906054164,1.2514976672280043,1.0769230769230769,0.6923076923076923,0.5384615384615384,1.8412698412698412,0.2857142857142857,0.9206349206349206,0.22799999999999998,0.11599999999999999,0.23700000000000002,0.40900000000000003,-0.07300000000000001,0.057,1.0,0.25,0.5,-0.043
B-Cr,1.2058449809402796,0.6111817026683609,0.6029224904701398,2.021857923497268,0.20765027322404378,1.010928961748634,-2.1020000000000003,1.8760000000000001,2.5013389283052203,0.09386301521132981,1.2506694641526102,1.1153846153846154,0.7307692307692307,0.5576923076923077,1.7936507936507937,0.23809523809523808,0.8968253968253969,0.22199999999999998,0.12199999999999998,0.328,0.318,-0.067,0.063,1.125,0.375,0.5625,-0.078
B-Mn,1.2249047013977128,0.6302414231257941,0.6124523506988564,1.9617486338797812,0.26775956284153,0.9808743169398906,-2.8409999999999997,2.629,2.1363774397482262,0.45882450376832395,1.0681887198741131,1.1538461538461537,0.7692307692307693,0.5769230769230769,1.7857142857142858,0.23015873015873015,0.8928571428571429,0.304,0.03999999999999998,0.41700000000000004,0.229,-0.046,0.084,1.25,0.5,0.625,0.047
B-Co,1.423125794155019,0.8284625158831003,0.7115628970775095,2.14207650273224,0.08743169398907111,1.07103825136612,1.501,1.7650000000000001,2.2738591502636445,0.3213427932529056,1.1369295751318222,1.2307692307692308,0.8461538461538461,0.6153846153846154,1.7698412698412698,0.21428571428571427,0.8849206349206349,0.16199999999999998,0.182,0.436,0.21000000000000002,-0.049,0.081,1.5,0.75,0.75,-0.045
B-Ni,1.4282083862770012,0.8335451080050826,0.7141041931385006,2.158469945355191,0.07103825136612028,1.0792349726775956,0.653,0.905,2.2517737349198024,0.3434282085967479,1.1258868674599012,1.2692307692307692,0.8846153846153846,0.6346153846153846,1.7619047619047619,0.20634920634920634,0.8809523809523809,0.27699999999999997,0.06699999999999999,0.543,0.10300000000000001,-0.019000000000000003,0.111,1.625,0.875,0.8125,-0.004
B-Cu,1.4358322744599747,0.8411689961880561,0.7179161372299874,2.153005464480874,0.07650273224043723,1.076502732240437,-0.012999999999999998,0.245,2.047273831543494,0.5479281119730558,1.023636915771747,1.3076923076923077,0.9230769230769231,0.6538461538461539,1.7936507936507937,0.23809523809523808,0.8968253968253969,0.426,0.08200000000000002,0.542,0.10400000000000001,-0.011000000000000003,0.119,1.75,1.0,0.875,0.195
B-Zn,1.2038119440914867,0.6091486658195681,0.6019059720457434,2.0163934426229506,0.21311475409836073,1.0081967213114753,-0.20500000000000002,0.06100000000000001,1.6800524528614416,0.9151494906551086,0.8400262264307208,1.3461538461538463,0.9615384615384616,0.6730769230769231,1.8412698412698412,0.2857142857142857,0.9206349206349206,0.499,0.15500000000000003,0.435,0.21100000000000002,-0.022000000000000006,0.108,1.875,1.125,0.9375,0.164
B-Ga,1.048284625158831,0.45362134688691236,0.5241423125794155,2.1038251366120218,0.1256830601092896,1.0519125683060109,-0.30300000000000005,0.033,1.4648508406261216,1.1303511028904287,0.7324254203130608,1.3846153846153846,1.0,0.6923076923076923,1.8888888888888888,0.3333333333333333,0.9444444444444444,0.575,0.23100000000000004,0.41600000000000004,0.23,-0.025,0.10500000000000001,0.75,0.0,0.375,0.126
B-Ge,0.9737484116899618,0.3790851334180433,0.4868742058449809,2.2131147540983607,0.016393442622950956,1.1065573770491803,-0.262,0.016000000000000014,1.9664577754465395,0.6287441680700108,0.9832288877232698,1.4230769230769231,1.0384615384615385,0.7115384615384616,1.9206349206349207,0.36507936507936506,0.9603174603174603,0.639,0.29500000000000004,0.481,0.165,-0.034,0.096,0.875,0.125,0.4375,0.066
B-As,1.0279542566709021,0.4332909783989835,0.5139771283354511,2.306010928961749,0.07650273224043723,1.1530054644808745,-0.22099999999999997,0.06499999999999999,1.8995113601855176,0.6956905833310327,0.9497556800927588,1.4615384615384615,1.0769230769230769,0.7307692307692307,1.9523809523809523,0.3968253968253968,0.9761904761904762,0.708,0.36400000000000005,0.551,0.095,-0.054000000000000006,0.076,1.0,0.25,0.5,0.04
B-Se,0.9096569250317662,0.31499364675984753,0.4548284625158831,2.5081967213114753,0.2786885245901638,1.2540983606557377,-0.16299999999999998,0.12299999999999998,1.5704386715622671,1.0247632719542832,0.7852193357811336,1.5,1.1153846153846154,0.75,1.8888888888888888,0.3333333333333333,0.9444444444444444,0.847,0.5030000000000001,0.631,0.015000000000000013,-0.051000000000000004,0.079,1.125,0.375,0.5625,0.159
