,Elements,Density_sum,Density_diff,Density_aver,Eneg_sum,Eneg_diff,Eneg_aver,Magnetic_sum,Magnetic_diff,Melting_sum,Melting_diff,Melting_aver,Number_sum,Number_diff,Number_aver,Radius_sum,Radius_diff,Radius_aver,Vacancy_1_sum,Vacancy_1_diff,Vacancy_2_sum,Vacancy_2_diff,Vacancy_3_sum,Vacancy_3_diff,Valence_sum,Valence_diff,Valence_aver,Energy_binding
157,P-Ga,1.0927573062261753,0.409148665819568,0.5463786531130876,2.185792349726776,0.2076502732240436,1.092896174863388,-0.2269999999999999,0.1169999999999999,0.5477539684730696,0.2132542307373768,0.2738769842365348,1.7692307692307692,0.6153846153846154,0.8846153846153846,2.126984126984127,0.0952380952380952,1.0634920634920637,0.772,0.034,0.349,0.163,0.019,0.061,1.0,0.25,0.5,-0.211
158,P-Ge,1.0182210927573063,0.3346124523506989,0.5091105463786532,2.295081967213114,0.098360655737705,1.147540983606557,-0.176,0.066,1.0493609032934876,0.2883527040830412,0.5246804516467438,1.807692307692308,0.6538461538461539,0.903846153846154,2.1587301587301586,0.1269841269841269,1.0793650793650793,0.8360000000000001,0.098,0.414,0.098,0.0099999999999999,0.052,1.125,0.125,0.5625,-0.32
159,P-As,1.0724269377382465,0.3888182973316391,0.5362134688691232,2.3879781420765025,0.0054644808743168,1.1939890710382512,-0.119,0.015,0.9824144880324656,0.2214062888220192,0.4912072440162328,1.8461538461538465,0.6923076923076923,0.9230769230769232,2.1904761904761907,0.1587301587301587,1.0952380952380951,0.905,0.167,0.484,0.0279999999999999,-0.01,0.032,1.25,0.0,0.625,-0.336
160,P-Se,0.9541296060991106,0.2705209656925031,0.4770648030495553,2.5901639344262297,0.1967213114754097,1.2950819672131149,-0.07,0.04,0.6533417994092151,0.1076663998012312,0.3266708997046075,1.8846153846153848,0.7307692307692307,0.9423076923076924,2.126984126984127,0.0952380952380952,1.0634920634920637,1.044,0.306,0.5640000000000001,0.0519999999999999,-0.007,0.035,1.375,0.125,0.6875,-0.179
161,P-Zr,1.170266836086404,0.4866581956797966,0.585133418043202,1.9234972677595628,0.4699453551912567,0.9617486338797814,-0.4419999999999999,0.372,1.5549788808215774,0.793970681611131,0.7774894404107887,2.1153846153846154,0.9615384615384616,1.0576923076923077,2.2857142857142856,0.2539682539682539,1.1428571428571428,1.114,0.376,0.165,0.347,0.044,0.086,1.125,0.125,0.5625,0.051
162,P-Nb,1.4307496823379924,0.7471410419313851,0.7153748411689962,2.07103825136612,0.3224043715846993,1.03551912568306,-0.734,0.6699999999999999,1.8989592248019211,1.1379510255914749,0.9494796124009608,2.1538461538461537,1.0,1.0769230769230769,2.1746031746031744,0.1428571428571428,1.0873015873015872,0.764,0.026,0.114,0.398,0.032,0.074,1.25,0.0,0.625,-0.038
163,P-Mo,1.6378653113087671,0.95425667090216,0.8189326556543837,2.3770491803278686,0.0163934426229507,1.1885245901639343,-0.8360000000000001,0.772,1.9790188554233497,1.2180106562129034,0.9895094277116748,2.1923076923076925,1.0384615384615383,1.0961538461538465,2.119047619047619,0.0873015873015873,1.0595238095238095,0.539,0.1989999999999999,0.139,0.373,0.0049999999999999,0.047,1.375,0.125,0.6875,-0.08
164,P-Ru,1.8792884371029224,1.195679796696315,0.9396442185514612,2.398907103825137,0.005464480874317,1.1994535519125684,0.087,0.175,1.819451729564089,1.0584435303536426,0.9097258647820444,2.269230769230769,1.1153846153846154,1.1346153846153846,2.0793650793650795,0.0476190476190476,1.0396825396825398,0.491,0.247,0.273,0.239,0.026,0.068,1.625,0.375,0.8125,0.072
165,P-Rh,1.917407878017789,1.2337992376111817,0.9587039390088944,2.442622950819672,0.0491803278688523,1.221311475409836,0.434,0.536,1.6151616376335478,0.8541534384231013,0.8075808188167739,2.3076923076923075,1.1538461538461535,1.1538461538461535,2.0793650793650795,0.0476190476190476,1.0396825396825398,0.526,0.212,0.366,0.146,0.045,0.087,1.75,0.5,0.875,0.122
166,P-Pd,1.866581956797967,1.1829733163913596,0.9332909783989836,2.398907103825137,0.005464480874317,1.1994535519125684,0.241,0.349,1.3897799740496368,0.6287717748391907,0.6948899870248184,2.3461538461538463,1.1923076923076923,1.1730769230769231,2.1031746031746037,0.0714285714285714,1.0515873015873016,0.663,0.075,0.473,0.039,0.0849999999999999,0.127,1.875,0.625,0.9375,0.156
167,P-Sn,1.267725540025413,0.5841168996188055,0.6338627700127065,2.26775956284153,0.1256830601092896,1.133879781420765,-0.248,0.14,0.65937663915192,0.1016315600585263,0.32968831957596,2.5,1.3461538461538465,1.25,2.3095238095238093,0.2777777777777778,1.1547619047619049,1.127,0.389,0.37,0.142,0.088,0.13,1.125,0.125,0.5625,-0.287
168,P-Sb,1.1905972045743327,0.5069885641677255,0.5952986022871664,2.3169398907103824,0.0765027322404372,1.1584699453551912,-0.143,0.043,0.879511912320901,0.1185037131104547,0.4397559561604505,2.5384615384615383,1.3846153846153846,1.2692307692307692,2.333333333333333,0.3015873015873015,1.1666666666666667,1.118,0.38,0.387,0.125,0.037,0.079,1.25,0.0,0.625,-0.416
169,P-Te,1.1336721728081325,0.4500635324015248,0.5668360864040661,2.344262295081967,0.0491803278688523,1.1721311475409837,-0.115,0.015,0.7795102559147502,0.0185020567043038,0.3897551279573751,2.576923076923077,1.4230769230769231,1.2884615384615383,2.2857142857142856,0.2539682539682539,1.1428571428571428,1.17,0.432,0.452,0.06,0.0099999999999999,0.052,1.375,0.125,0.6875,-0.425
170,P-Hf,2.0317662007623887,1.3481575603557816,1.0158831003811943,1.907103825136612,0.4863387978142076,0.953551912568306,-0.545,0.475,1.764238191204483,1.0032299919940368,0.8821190956022417,3.3461538461538463,2.1923076923076925,1.6730769230769231,2.2777777777777777,0.246031746031746,1.1388888888888888,1.015,0.277,0.108,0.404,0.0519999999999999,0.094,1.125,0.125,0.5625,0.003
171,P-Ta,2.42566709021601,1.7420584498094027,1.212833545108005,2.0163934426229506,0.3770491803278688,1.0081967213114753,-0.751,0.689,2.1971123319437926,1.436104132733346,1.0985561659718963,3.3846153846153846,2.230769230769231,1.6923076923076923,2.1746031746031744,0.1428571428571428,1.0873015873015872,0.69,0.0479999999999999,0.076,0.436,0.019,0.061,1.25,0.0,0.625,-0.126
172,P-W,2.794155019059721,2.110546378653113,1.3970775095298604,2.125683060109289,0.26775956284153,1.0628415300546448,-0.782,0.722,2.416310079231428,1.655301880020981,1.2081550396157137,3.423076923076923,2.269230769230769,1.7115384615384617,2.119047619047619,0.0873015873015873,1.0595238095238095,0.498,0.24,0.107,0.405,-0.005,0.037,1.375,0.125,0.6875,-0.195
173,P-Re,2.984752223634054,2.301143583227446,1.492376111817027,2.2349726775956285,0.1584699453551912,1.1174863387978142,-0.664,0.596,2.2898710763879304,1.528862877177484,1.1449355381939652,3.4615384615384617,2.3076923076923075,1.7307692307692308,2.1031746031746037,0.0714285714285714,1.0515873015873016,0.446,0.292,0.168,0.344,-0.011,0.031,1.5,0.25,0.75,-0.201
174,P-Os,3.2118424396442187,2.528233799237611,1.6059212198221091,2.398907103825137,0.005464480874317,1.1994535519125684,-0.245,0.1629999999999999,2.205946498081329,1.444938298870883,1.1029732490406647,3.5,2.3461538461538463,1.75,2.0873015873015874,0.0555555555555555,1.0436507936507935,0.4599999999999999,0.278,0.24,0.272,-0.001,0.041,1.625,0.375,0.8125,-0.129
175,P-Ir,3.20866581956798,2.5250571791613723,1.60433290978399,2.398907103825137,0.005464480874317,1.1994535519125684,0.272,0.368,1.881843027910444,1.1208348286999972,0.9409215139552218,3.5384615384615383,2.3846153846153846,1.7692307692307692,2.095238095238096,0.0634920634920634,1.0476190476190477,0.504,0.2339999999999999,0.337,0.175,0.036,0.078,1.75,0.5,0.875,-0.026
176,P-Pt,3.073697585768742,2.3900889453621343,1.536848792884371,2.398907103825137,0.005464480874317,1.1994535519125684,0.251,0.359,1.5076056649090357,0.7465974656985892,0.7538028324545178,3.576923076923077,2.423076923076923,1.7884615384615383,2.119047619047619,0.0873015873015873,1.0595238095238095,0.631,0.1069999999999999,0.4609999999999999,0.051,0.073,0.115,1.875,0.625,0.9375,-0.018
177,P-Au,2.794155019059721,2.110546378653113,1.3970775095298604,2.5081967213114758,0.1147540983606557,1.2540983606557377,0.078,0.192,1.118891312149739,0.3578831129392926,0.5594456560748695,3.615384615384616,2.4615384615384617,1.807692307692308,2.1587301587301586,0.1269841269841269,1.0793650793650793,0.8260000000000001,0.088,0.5529999999999999,0.0409999999999999,0.117,0.159,2.0,0.75,1.0,0.007
178,P-U,2.76874205844981,2.085133418043202,1.384371029224905,2.125683060109289,0.26775956284153,1.0628415300546448,-1.367,1.311,1.157993540016012,0.3969853408055656,0.578996770008006,4.115384615384615,2.9615384615384617,2.0576923076923075,2.365079365079365,0.3333333333333333,1.1825396825396826,1.617,0.879,0.485,0.0269999999999999,0.0519999999999999,0.094,1.375,0.125,0.6875,-0.26
